  PID  PPID USER         STIME NAME                       
    1     0 root         21:15:20 init
    2     0 root         21:15:20 [kthreadd]
    3     2 root         21:15:20 [rcu_gp]
    4     2 root         21:15:20 [rcu_par_gp]
    5     2 root         21:15:20 [kworker/0:0-events]
    6     2 root         21:15:20 [kworker/0:0H-events_highpri]
    7     2 root         21:15:20 [kworker/u16:0-qc_ufs_qos_swq]
    8     2 root         21:15:20 [mm_percpu_wq]
    9     2 root         21:15:20 [ksoftirqd/0]
   10     2 root         21:15:20 [rcu_preempt]
   11     2 root         21:15:20 [rcuog/0]
   12     2 root         21:15:20 [rcuop/0]
   13     2 root         21:15:20 [migration/0]
   14     2 root         21:15:20 [cpuhp/0]
   15     2 root         21:15:20 [kworker/0:1-events]
   16     2 root         21:15:20 [cpuhp/1]
   17     2 root         21:15:20 [migration/1]
   18     2 root         21:15:20 [ksoftirqd/1]
   19     2 root         21:15:20 [kworker/1:0-events]
   20     2 root         21:15:20 [kworker/1:0H-events_highpri]
   21     2 root         21:15:20 [rcuop/1]
   22     2 root         21:15:20 [cpuhp/2]
   23     2 root         21:15:20 [migration/2]
   24     2 root         21:15:20 [ksoftirqd/2]
   25     2 root         21:15:20 [kworker/2:0-mm_percpu_wq]
   26     2 root         21:15:20 [kworker/2:0H-events_highpri]
   27     2 root         21:15:20 [rcuop/2]
   28     2 root         21:15:20 [cpuhp/3]
   29     2 root         21:15:20 [migration/3]
   30     2 root         21:15:20 [ksoftirqd/3]
   31     2 root         21:15:20 [kworker/3:0-events]
   32     2 root         21:15:20 [kworker/3:0H-events_highpri]
   33     2 root         21:15:20 [rcuop/3]
   34     2 root         21:15:20 [cpuhp/4]
   35     2 root         21:15:20 [migration/4]
   36     2 root         21:15:20 [ksoftirqd/4]
   37     2 root         21:15:20 [kworker/4:0-events]
   38     2 root         21:15:20 [kworker/4:0H-kblockd]
   39     2 root         21:15:20 [rcuog/4]
   40     2 root         21:15:20 [rcuop/4]
   41     2 root         21:15:20 [cpuhp/5]
   42     2 root         21:15:20 [migration/5]
   43     2 root         21:15:20 [ksoftirqd/5]
