  PID  PPID USER         STIME NAME                       
  436     2 root         20:55:41 [kdmflush]
  439     2 root         20:55:41 [kdmflush]
  440     2 root         20:55:41 [kdmflush]
  441     2 root         20:55:41 [kdmflush]
  442     2 root         20:55:41 [kdmflush]
  443     2 root         20:55:41 [kdmflush]
  445     2 root         20:55:41 [kdmflush]
  448     2 root         20:55:41 [kdmflush]
  449     2 root         20:55:41 [kdmflush]
  452     2 root         20:55:41 [kdmflush]
  453     2 root         20:55:41 [kdmflush]
  454     2 root         20:55:41 [kdmflush]
  455     2 root         20:55:41 [kdmflush]
  456     2 root         20:55:41 [kdmflush]
  458     2 root         20:55:41 [kdmflush]
  460     2 root         20:55:41 [kdmflush]
  461     2 root         20:55:41 [kdmflush]
  463     2 root         20:55:41 [kdmflush]
  468     2 root         20:55:41 [loop2]
  469     2 root         20:55:41 [loop1]
  470     2 root         20:55:41 [loop0]
  471     2 root         20:55:41 [loop3]
  472     2 root         20:55:41 [ext4-rsv-conver]
  473     2 root         20:55:41 [ext4-rsv-conver]
  474     2 root         20:55:41 [ext4-rsv-conver]
  475     2 root         20:55:41 [ext4-rsv-conver]
  581     2 root         20:55:41 [kworker/4:2-events]
  582     2 root         20:55:41 [kworker/3:2-events]
  583     2 root         20:55:41 [kworker/u17:4-pil_workqueue]
  584     2 root         20:55:41 [irq/333-cs35l41]
  585     2 root         20:55:41 [irq/102-arm-smm]
  586     2 root         20:55:41 [sb-1]
  587     2 root         20:55:41 [ngd_rx_thread1]
  588     2 root         20:55:41 [ngd_notify_sl1]
  589     2 root         20:55:41 [dsi_dma_cmd_wor]
  590     2 root         20:55:41 [irq/59-arm-smmu]
  591     2 root         20:55:41 [irq/103-arm-smm]
  592     2 root         20:55:41 [dsi_dma_cmd_wor]
  593     2 root         20:55:41 [drm_dp]
  594     2 root         20:55:41 [dsi_dma_cmd_wor]
  595     2 root         20:55:41 [apr_driver]
  596     2 root         20:55:41 [disp_feature:0]
  597     2 root         20:55:41 [disp_fod:0]
  598     2 root         20:55:41 [fmradio]
  599     2 root         20:55:41 [fmradioscan]
  600     2 root         20:55:41 [fmradiords]
  601     2 root         20:55:41 [irq/335-esd_err]
  602     2 root         20:55:41 [irq/289-flash_a]
  603     2 root         20:55:41 [irq/288-flash_a]
  604     2 root         20:55:41 [irq/287-flash_f]
  605     2 root         20:55:41 [sdm_dp_audio_no]
  606     2 root         20:55:41 [hdcp_1x_1]
  607     2 root         20:55:41 [hdcp_2x]
  608     2 root         20:55:41 [dp_hdcp2p2]
  609     2 root         20:55:41 [irq/339-cs35l41]
  610     2 root         20:55:41 [crtc_commit:141]
  611     2 root         20:55:41 [crtc_event:141]
  612     2 root         20:55:41 [crtc_commit:202]
  613     2 root         20:55:41 [crtc_event:202]
  614     2 root         20:55:41 [crtc_commit:211]
  615     2 root         20:55:41 [crtc_event:211]
  616     2 root         20:55:41 [crtc_commit:220]
  617     2 root         20:55:41 [crtc_event:220]
  618     2 root         20:55:41 [crtc_commit:229]
  619     2 root         20:55:41 [crtc_event:229]
  620     2 root         20:55:41 [pp_event]
  621     2 root         20:55:41 [kworker/0:2-events]
  622     2 root         20:55:41 [irq/104-arm-smm]
  623     2 root         20:55:41 [kworker/3:3-mm_percpu_wq]
  624     2 root         20:55:41 [irq/105-arm-smm]
  625     2 root         20:55:41 [mhi_w]
  626     2 root         20:55:41 [irq/106-arm-smm]
  627     2 root         20:55:41 [irq/107-arm-smm]
  628     2 root         20:55:41 [irq/108-arm-smm]
